customer_id,age_alicorp,has_credit_line,has_perfect_customer,has_marketing_impulse,target,recency,frequency,unique_categories,total_amount,avg_ticket,total_discount,discount_rate,territory_id_T2,territory_id_T3,territory_id_T4,territory_id_T5,territory_id_T6,segment_S1,segment_S3,segment_S4,segment_S5,segment_S6
1,9.0,1,0,1,1,2,317,9,153167,483.17665615141954,8452,0.055181599169533906,False,False,False,False,False,False,True,False,False,False
2,0.0,0,1,1,0,3,4432,9,2245743,506.7109657039711,121912,0.05428581988232847,True,False,False,False,False,False,True,False,False,False
3,4.0,1,0,0,0,15,559,7,285946,511.5313059033989,15405,0.0538738083414351,False,False,False,False,False,False,True,False,False,False
4,2.0,0,1,0,0,28,503,7,258438,513.7932405566601,13571,0.052511627547032556,False,False,False,False,False,False,True,False,False,False
5,2.0,0,1,1,0,14,98,6,45812,467.46938775510205,2576,0.056229808783724786,False,False,False,False,False,False,True,False,False,False
6,0.0,0,0,1,0,9,461,1,233391,506.2711496746204,13073,0.056013299570249066,False,True,False,False,False,False,True,False,False,False
7,9.0,0,1,0,0,1,67,8,32290,481.94029850746267,1724,0.05339114276865903,False,True,False,False,False,False,True,False,False,False
8,0.0,0,0,0,0,0,143,8,76678,536.2097902097902,4184,0.05456584678786614,False,False,False,False,False,False,True,False,False,False
9,8.0,0,0,0,0,5,63,6,34788,552.1904761904761,1909,0.054875244337127746,False,True,False,False,False,False,True,False,False,False
10,5.0,1,0,0,0,9,39,5,19360,496.4102564102564,1055,0.05449380165289256,False,True,False,False,False,False,True,False,False,False
11,2.0,0,1,0,0,3,69,7,39034,565.7101449275362,2664,0.06824819388225649,False,True,False,False,False,False,True,False,False,False
12,8.0,1,1,1,1,36,52,8,28812,554.0769230769231,1526,0.052964042759961125,False,False,False,False,False,False,True,False,False,False
13,1.0,1,0,1,0,3,52,7,27865,535.8653846153846,1414,0.05074466176206711,False,False,False,False,False,False,True,False,False,False
14,5.0,1,1,1,0,19,9,2,5327,591.8888888888889,296,0.05556598460672048,False,False,False,False,False,False,True,False,False,False
15,4.0,0,1,1,1,19,29,6,15954,550.1379310344828,1032,0.06468597216998871,False,True,False,False,False,False,True,False,False,False
16,3.0,1,0,0,0,9,82,2,40462,493.4390243902439,1761,0.04352231723592506,False,False,False,False,False,False,True,False,False,False
17,9.0,1,1,0,0,31,5,1,1875,375.0,100,0.05333333333333334,False,True,False,False,False,False,True,False,False,False
18,0.0,0,0,1,0,3,55,2,23996,436.2909090909091,1296,0.054009001500250044,False,True,False,False,False,False,True,False,False,False
19,7.0,0,0,1,0,10,44,7,20508,466.09090909090907,1138,0.05549054027696509,False,False,False,False,False,False,True,False,False,False
20,5.0,1,0,1,0,24,10,2,3950,395.0,144,0.03645569620253165,False,False,True,False,False,False,True,False,False,False
21,2.0,0,0,0,0,12,23,7,13029,566.4782608695652,659,0.05057947655230639,False,True,False,False,False,False,True,False,False,False
22,6.0,1,0,1,0,3,121,8,59675,493.1818181818182,2920,0.04893171344784248,False,True,False,False,False,False,True,False,False,False
23,1.0,1,0,0,0,30,66,6,31579,478.469696969697,1787,0.05658823901960163,False,False,False,False,False,False,False,False,False,True
24,0.0,0,0,0,0,25,34,7,16464,484.2352941176471,779,0.0473153547133139,False,False,False,False,False,False,True,False,False,False
25,10.0,0,0,1,0,23,60,7,32559,542.65,1967,0.060413403360054053,False,False,False,False,False,False,True,False,False,False
26,3.0,0,0,1,0,1,175,8,85583,489.04571428571427,4045,0.04726405945105921,False,False,False,True,False,False,False,False,False,True
27,9.0,1,0,0,1,3,32,5,15743,491.96875,936,0.05945499587118084,False,False,False,True,False,False,True,False,False,False
28,6.0,1,0,0,1,4,25,4,12534,501.36,683,0.054491782352002555,False,False,False,False,False,False,True,False,False,False
29,5.0,1,1,0,0,15,54,9,30364,562.2962962962963,1976,0.06507706494533,False,False,False,False,False,False,False,False,False,True
30,0.0,0,0,0,0,15,121,7,65519,541.4793388429752,3464,0.052870159800973766,False,False,False,False,False,False,True,False,False,False
31,6.0,0,0,0,0,21,34,6,17446,513.1176470588235,1072,0.061446749971340135,False,True,False,False,False,False,False,False,False,True
32,1.0,0,1,0,0,2,57,2,26868,471.36842105263156,1475,0.05489801994938216,False,False,False,False,False,False,True,False,False,False
33,9.0,0,0,0,0,1,56,7,30271,540.5535714285714,1370,0.045257837534273725,False,True,False,False,False,False,True,False,False,False
34,2.0,0,0,0,0,3,235,7,123484,525.4638297872341,6451,0.05224158595445564,False,False,True,False,False,False,True,False,False,False
35,3.0,1,1,1,0,8,74,3,36742,496.5135135135135,1847,0.05026944641010288,False,True,False,False,False,False,True,False,False,False
36,0.0,0,0,0,0,2,7,2,3363,480.42857142857144,216,0.06422836752899197,False,False,True,False,False,False,True,False,False,False
37,8.0,0,0,0,0,10,150,8,76152,507.68,3958,0.051974997373673705,False,False,False,False,False,False,False,False,False,True
38,4.0,0,0,0,0,50,18,6,9939,552.1666666666666,532,0.053526511721501156,False,True,False,False,False,False,True,False,False,False
39,1.0,1,0,0,0,15,26,5,11765,452.5,715,0.06077348066298342,False,True,False,False,False,False,True,False,False,False
40,0.0,1,0,0,0,17,6,1,3233,538.8333333333334,214,0.06619239096814104,False,False,False,False,False,False,True,False,False,False
41,1.0,0,1,0,0,53,21,6,8485,404.04761904761904,371,0.04372421921037124,False,False,False,False,False,False,True,False,False,False
42,9.0,0,0,1,0,12,56,2,30655,547.4107142857143,1852,0.0604142880443647,False,False,False,False,False,False,True,False,False,False
43,3.0,1,0,1,1,16,20,3,11519,575.95,756,0.06563069710912406,False,True,False,False,False,False,True,False,False,False
44,7.0,0,0,0,1,2,110,7,55688,506.25454545454545,2990,0.05369199827610976,False,False,False,False,False,False,True,False,False,False
45,9.0,0,0,0,0,4,86,7,41913,487.36046511627904,2234,0.053300885166893325,False,False,False,False,False,False,True,False,False,False
46,5.0,1,1,0,1,17,20,3,10912,545.6,570,0.052236070381231674,False,False,False,False,False,False,True,False,False,False
47,3.0,1,1,0,0,1,51,7,25385,497.7450980392157,1555,0.061256647626551114,False,False,False,False,False,False,True,False,False,False
48,6.0,0,1,0,0,15,27,4,15348,568.4444444444445,698,0.045478238206932496,False,False,False,False,False,False,False,False,False,False
49,5.0,1,0,0,0,7,30,6,15689,522.9666666666667,889,0.05666390464656766,False,True,False,False,False,False,True,False,False,False
50,0.0,0,0,0,1,1,38,9,21380,562.6315789473684,1050,0.04911131898971001,False,False,True,False,False,False,True,False,False,False
51,0.0,1,0,0,0,0,71,7,35755,503.59154929577466,1822,0.050957907984897216,False,True,False,False,False,False,True,False,False,False
52,10.0,1,0,0,1,1,290,2,143087,493.40344827586205,7876,0.05504343511290334,False,False,False,False,False,False,True,False,False,False
53,8.0,0,0,1,1,5,143,7,72296,505.56643356643355,4063,0.056199513112758656,False,True,False,False,False,False,True,False,False,False
54,10.0,0,0,1,0,15,57,8,30445,534.1228070175439,1513,0.0496961734274922,False,False,False,False,False,False,True,False,False,False
55,10.0,1,0,0,1,31,44,4,21177,481.29545454545456,1044,0.04929876753081173,False,False,False,False,False,False,False,False,False,True
56,1.0,0,0,0,0,22,78,8,37360,478.97435897435895,1984,0.05310492505353319,False,False,False,False,False,False,True,False,False,False
57,6.0,1,0,1,0,12,80,5,41396,517.45,2182,0.05271040680258962,False,False,True,False,False,False,True,False,False,False
58,10.0,1,1,0,0,4,59,8,25644,434.64406779661016,1335,0.05205896116050538,False,False,False,False,False,False,True,False,False,False
59,5.0,0,0,0,0,36,13,6,7669,589.9230769230769,277,0.03611944190898422,False,False,False,False,False,False,True,False,False,False
60,6.0,1,0,0,0,3,21,2,8779,418.04761904761904,578,0.06583893381934161,False,False,True,False,False,False,True,False,False,False
61,5.0,1,0,1,0,3,149,8,73670,494.4295302013423,4378,0.05942717524093932,False,False,False,False,False,False,True,False,False,False
62,4.0,1,0,0,0,17,19,5,9542,502.2105263157895,367,0.038461538461538464,False,True,False,False,False,False,True,False,False,False
63,7.0,1,1,1,0,25,66,7,38768,587.3939393939394,2162,0.05576764341725134,False,False,False,False,False,False,True,False,False,False
64,0.0,1,1,0,0,23,43,6,22786,529.9069767441861,1193,0.05235671026068638,False,False,False,False,False,False,True,False,False,False
65,8.0,1,0,0,0,17,6,2,3674,612.3333333333334,142,0.038649972781709306,False,False,False,False,False,False,True,False,False,False
66,3.0,1,0,0,0,60,39,8,21235,544.4871794871794,1577,0.07426418648457735,False,False,False,False,False,False,True,False,False,False
67,7.0,0,0,1,0,0,152,9,71616,471.1578947368421,4037,0.056370084897229666,False,False,False,False,False,False,True,False,False,False
68,6.0,1,1,0,0,0,75,9,36945,492.6,2371,0.06417647854919475,False,False,False,False,False,False,True,False,False,False
69,8.0,1,0,0,0,8,31,3,18851,608.0967741935484,1110,0.05888281788764522,False,False,False,False,False,False,True,False,False,False
70,0.0,0,0,0,0,7,72,8,36322,504.47222222222223,1972,0.054292164528385,False,False,False,False,False,False,True,False,False,False
71,5.0,0,0,1,1,30,28,5,15081,538.6071428571429,788,0.052251176977654,True,False,False,False,False,False,True,False,False,False
72,6.0,1,0,1,0,9,62,8,31869,514.016129032258,1586,0.04976623050613449,False,False,False,False,False,False,True,False,False,False
73,6.0,1,0,0,0,15,144,5,72842,505.84722222222223,4018,0.055160484335960026,False,False,False,False,False,False,True,False,False,False
74,5.0,0,0,0,0,22,32,7,12971,405.34375,613,0.047259270680749366,False,False,False,False,False,False,True,False,False,False
75,10.0,0,0,0,0,18,153,7,83483,545.6405228758169,4168,0.04992633230717631,False,False,False,False,False,False,True,False,False,False
76,8.0,0,0,0,0,9,36,6,18904,525.1111111111111,970,0.051311891663140076,False,False,False,False,False,False,True,False,False,False
77,5.0,0,0,1,0,3,56,2,30015,535.9821428571429,1382,0.046043644844244544,False,False,False,True,False,False,True,False,False,False
78,7.0,0,0,0,0,37,67,4,34784,519.1641791044776,1943,0.055859015639374426,False,False,False,True,False,False,True,False,False,False
79,5.0,1,0,0,0,18,52,6,22750,437.5,1332,0.05854945054945055,False,False,True,False,False,False,False,False,False,True
80,9.0,1,0,0,0,42,117,9,59249,506.4017094017094,3106,0.05242282570169961,False,True,False,False,False,False,True,False,False,False
81,9.0,1,0,0,0,1,58,8,31699,546.5344827586207,1765,0.05567998990504432,False,True,False,False,False,False,True,False,False,False
82,8.0,1,1,1,0,0,54,8,25442,471.14814814814815,1241,0.04877761182296989,False,False,False,False,False,False,True,False,False,False
83,2.0,1,1,0,0,26,78,7,34411,441.1666666666667,2168,0.06300310947080875,False,True,False,False,False,False,True,False,False,False
84,7.0,0,1,0,0,9,63,8,31063,493.06349206349205,1605,0.05166918842352638,False,False,False,True,False,False,True,False,False,False
85,7.0,0,1,1,0,3,159,9,82404,518.2641509433962,4045,0.04908742294063395,False,False,False,False,False,False,True,False,False,False
86,9.0,1,0,0,0,66,66,7,32784,496.72727272727275,1814,0.05533186920448999,False,False,False,False,False,False,False,False,False,True
87,3.0,1,0,0,0,22,91,7,49258,541.2967032967033,2169,0.044033456494376545,False,False,False,False,False,False,True,False,False,False
88,6.0,1,1,0,0,18,26,7,13587,522.5769230769231,722,0.053139029955104146,False,True,False,False,False,False,True,False,False,False
89,0.0,0,0,0,0,31,45,6,22197,493.26666666666665,1355,0.06104428526377438,False,False,False,False,False,False,True,False,False,False
90,8.0,1,1,1,0,24,168,9,81559,485.4702380952381,4542,0.05568974607339472,False,False,False,False,False,False,True,False,False,False
